Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Project 1\PCB_Project1\Project Outputs for Wirless Security Detector\Pick Place for KRALBILGEHAN.csv

========================================================================================================================
File Design Information:

Date:       01.04.26
Time:       11:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C39","CL21B105KBFNNNE","BottomLayer","CAP_0805","3218.000","190.598","90","CAP CER 1uF %10 0805"
"C40","C0603C104K5RACTU","BottomLayer","CAP_0603","3085.000","769.500","270","CAP CER 100nF %10 0603 SMD"
"C41","CL21B104KBCNNNC","BottomLayer","CAP_0805","3265.000","850.000","180","CAP CER 100nF %10 0805"
"C42","CL21B105KBFNNNE","BottomLayer","CAP_0805","3265.000","915.000","180","CAP CER 1uF %10 0805"
"C43","CL21A475KAQNNNE","BottomLayer","CAP_0805","3348.000","341.000","270","CAP CER 4.7uF %10 0805"
"C44","CL21A475KAQNNNE","BottomLayer","CAP_0805","3218.000","341.000","270","CAP CER 4.7uF %10 0805"
"C45","CL21B105KBFNNNE","BottomLayer","CAP_0805","3283.000","341.000","270","CAP CER 1uF %10 0805"
"C46","C0603C104K5RACTU","TopLayer","CAP_0603","1939.000","1287.500","270","CAP CER 100nF %10 0603 SMD"
"C47","C0603C104K5RACTU","TopLayer","CAP_0603","2511.811","1091.532","90","CAP CER 100nF %10 0603 SMD"
"D1","1SMB5919BT3G","TopLayer","SMB","872.000","1232.000","180","Diode Zener Single 5.6V 5% 3W 2-Pin SMB T/R"
"D2","1N4148WS","TopLayer","SOD323F","2066.929","2560.039","0","Diode, Single, 75 V, 150 mA, 1 V, 4 ns"
"D3","1N4148WS","TopLayer","SOD323F","2249.882","306.000","180","Diode, Single, 75 V, 150 mA, 1 V, 4 ns"
"D4","1N4148WS","TopLayer","SOD323F","2670.118","2558.000","180","Diode, Single, 75 V, 150 mA, 1 V, 4 ns"
"D5","1N4148WS","TopLayer","SOD323F","1594.000","1254.000","90","Diode, Single, 75 V, 150 mA, 1 V, 4 ns"
"D6","LH R974-LP-1","BottomLayer","LED_RED_0805","3140.000","537.000","180","LED Uni-Color Hyper Red 660nm 2-Pin Chip 0805(2012Metric) T/R"
"D7","LTST-C171GKT","TopLayer","LED_GREEN_0805","3395.000","685.000","180","Green 0805 130 º Min 5 mcd Typical 12 mcd Water Clear Lens SMT LED"
"D8","1N4148WS","TopLayer","SOD323F","839.000","2029.882","90","Diode, Single, 75 V, 150 mA, 1 V, 4 ns"
"F1","3413.0216.22","TopLayer","3413.0216.22","910.008","2178.150","180","FUSE BRD MNT 1A 32VAC 63VDC 1206"
"J1","PJ-037AH-SMT-TR","TopLayer","JACK","408.464","1882.874","0","DC Power Connectors Power Jacks"
"J2","TBP01R1-508-02BE","TopLayer","TBP01R1-508","2710.000","3565.000","180","Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"
"J3","TBP01R1-508-02BE","TopLayer","TBP01R1-508","260.000","3485.000","270","Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"
"J4","TBP01R1-508-02BE","TopLayer","TBP01R1-508","2185.000","3565.000","180","Conn Shrouded Header HDR 2 POS 5.08mm Solder RA Side Entry Thru-Hole Bag"
"J5","64800611622","TopLayer","64800611622","2790.000","256.417","270","1.50mm 6PIN Connector"
"J6","PJ-037AH-SMT-TR","TopLayer","JACK","1519.685","389.764","90","DC Power Connectors Power Jacks"
"J7","SMH-105-02-L-S","TopLayer","PINHEADER1X5_RA","2485.000","2097.000","90",".100 C.L. HORIZONTAL SMT SOCKET"
"J8","64800611622","BottomLayer","64800611622","3111.000","257.472","270","1.50mm 6PIN Connector"
"L1","78438335470","TopLayer","IND_1212","1159.449","1233.268","0","FIXED IND 47UH 390MA 2.3 OHM SMD"
"Q1","MMBT3904-7-F","TopLayer","SOT-23F","2236.220","2556.102","90","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"
"Q2","MMBT3904-7-F","TopLayer","SOT-23F","2513.582","2558.071","270","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"
"Q3","MMBT3904-7-F","TopLayer","SOT-23F","556.000","268.000","90","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"
"Q4","MMBT3904-7-F","TopLayer","SOT-23F","515.748","1241.142","90","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"
"Q5","MMBT3904-7-F","TopLayer","SOT-23F","3387.795","470.598","90","Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"
"R1","5WD27","TopLayer","RES_AXIAL_W","1181.102","3583.661","0","Resistor 5 Watt Cermet Wirewound Flameproof .27 Ohm 5% Axial Lead"
"R2","RC0603FR-0710KL","TopLayer","RES_0603","2444.882","2465.551","180","RES 1K %1 OHM 0603 SMD"
"R3","RC0603FR-0710KL","TopLayer","RES_0603","2334.646","2552.169","270","RES 10K %1 OHM 0603 SMD"
"R4","RC0603FR-0710KL","TopLayer","RES_0603","2611.000","2464.000","180","RES 1K %1 OHM 0603 SMD"
"R5","RC0603FR-0710KL","TopLayer","RES_0603","2414.000","2563.500","90","RES 10K %1 OHM 0603 SMD"
"R6","RC0603JR-07100RL","TopLayer","RES_0603","1082.000","310.500","270","RES 100 %5 OHM 0603 SMD"
"R7","RC0603JR-074K7L","TopLayer","RES_0603","2006.756","1052.556","90","RES 4K7 %5 OHM 0603 SMD"
"R8","RC0603JR-074K7L","TopLayer","RES_0603","2007.000","938.036","270","RES 4K7 %5 OHM 0603 SMD"
"R9","RC0603JR-07100RL","TopLayer","RES_0603","1742.500","1307.882","0","RES 100 %5 OHM 0603 SMD"
"R10","RC0603JR-07100RL","TopLayer","RES_0603","781.000","186.000","270","RES 100 %5 OHM 0603 SMD"
"R11","RC0603JR-0715RL","TopLayer","RES_0603","2531.500","1596.000","0","RES 15 %5 OHM 0603 SMD"
"R12","RC0603JR-0715RL","TopLayer","RES_0603","2531.500","1647.000","0","RES 15 %5 OHM 0603 SMD"
"R13","RC0603JR-07100RL","TopLayer","RES_0603","2531.492","1528.543","0","RES 100 %5 OHM 0603 SMD"
"R14","RC0603FR-0710KL","TopLayer","RES_0603","429.134","272.638","90","RES 1K %1 OHM 0603 SMD"
"R15","RC0603JR-07100RL","TopLayer","RES_0603","692.000","234.000","180","RES 100 %5 OHM 0603 SMD"
"R16","RC0603JR-07100RL","TopLayer","RES_0603","2185.039","1253.370","270","RES 100 %5 OHM 0603 SMD"
"R17","RC0603JR-07100RL","TopLayer","RES_0603","633.858","1237.209","270","RES 100 %5 OHM 0603 SMD"
"R18","RC0603JR-07100RL","TopLayer","RES_0603","2480.319","969.488","0","RES 100 %5 OHM 0603 SMD"
"R19","RC0603FR-0710KL","BottomLayer","RES_0603","3549.000","266.000","180","RES 10K %1 OHM 0603 SMD"
"R20","RC0603JR-07560KL","BottomLayer","RES_0603","3625.000","650.000","90","RES SMD 560K OHM 5% 1/10W 0603"
"R21","RC0603FR-0710KL","BottomLayer","RES_0603","3652.000","439.000","0","RES 10K %1 OHM 0603 SMD"
"R22","RC0603FR-0710KL","BottomLayer","RES_0603","3625.000","770.000","270","RES 10K %1 OHM 0603 SMD"
"R23","RC0603FR-0710KL","BottomLayer","RES_0603","3485.000","88.000","180","RES 1K %1 OHM 0603 SMD"
"R24","RC0603JR-07560KL","BottomLayer","RES_0603","3510.000","770.000","90","RES SMD 560K OHM 5% 1/10W 0603"
"R25","RC0603JR-0743KL","BottomLayer","RES_0603","3625.000","530.000","90","RES 43K %5 OHM 0603 SMD"
"R26","RC0603JR-07220KL","BottomLayer","RES_0603","3315.000","166.000","180","RES 220K %5 OHM 0603 SMD"
"R27","RC0603JR-07220KL","BottomLayer","RES_0603","3315.000","228.000","180","RES 220K %5 OHM 0603 SMD"
"R28","RC0603JR-070RL","BottomLayer","RES_0603","3125.000","685.000","0","RES 0 %1 OHM 0603 SMD"
"R29","RC0603JR-070RL","BottomLayer","RES_0603","3125.000","626.000","0","RES 0 %1 OHM 0603 SMD"
"R30","RC0603FR-0710KL","BottomLayer","RES_0603","3058.000","541.000","270","RES 1K %1 OHM 0603 SMD"
"R31","","BottomLayer","RES_0603","3145.000","771.000","90","RES 220K %5 OHM 0603 SMD"
"R32","RC0603FR-0710KL","TopLayer","RES_0603","3393.500","383.000","0","RES 1K %1 OHM 0603 SMD"
"R33","RC0603JR-07100RL","TopLayer","RES_0603","3389.000","588.000","0","RES 100 %5 OHM 0603 SMD"
"R34","RC0603JR-07100RL","TopLayer","RES_0603","2110.000","1894.500","270","RES 100 %5 OHM 0603 SMD"
"R35","RC0603JR-07100RL","TopLayer","RES_0603","2082.677","1253.370","90","RES 100 %5 OHM 0603 SMD"
"R36","RC0603JR-07100RL","TopLayer","RES_0603","2133.858","1253.370","90","RES 100 %5 OHM 0603 SMD"
"R37","RC0603JR-07100RL","TopLayer","RES_0603","2031.496","1253.370","90","RES 100 %5 OHM 0603 SMD"
"RL1","ALQ112","TopLayer","ALQ112","2155.000","3050.000","90","General Purpose Relay SPDT (1 Form C) 12VDC Coil Through Hole"
"RL2","ALQ112","TopLayer","ALQ112","2680.000","3045.000","90","General Purpose Relay SPDT (1 Form C) 12VDC Coil Through Hole"
"RT1","TFPT1206L1002FM","BottomLayer","RES_1206","3483.000","338.000","0","Thermistor PTC 10K Ohm 1% 1206"
"S1","LHI 878/3902","TopLayer","LHI_878","3390.000","915.000","0","SENSOR PYRO DETECTOR DUAL MOTION"
"SW1","EG1215AA","TopLayer","EG1215AA","995.260","145.669","0","Slide Switch, SPDT, 0.025A, 24V, SMD"
"T1","BV302S12010-ZU","TopLayer","BV302S","1200.787","2815.945","0","230-12 Transformer 1VA"
"U1","LM2675MX-12/NOPB","TopLayer","SOIC8","1137.795","1520.669","90","Switching Voltage Regulators Pwr Cnvtr Hi Eff 1A SD Vtg Reg"
"U2","AP7361-33E-13","TopLayer","SOT223","1503.937","1721.457","0","LDO Regulator Pos 3.3V 1A 4-Pin(3+Tab) SOT-223 T/R"
"U3","STM32F103C6T6A","TopLayer","LQFP-48","2137.803","1599.409","270","MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP Tray"
"U4","ESP32-WROOM-32","TopLayer","ESP32-32","673.819","733.268","90","SMD MODULE, ESP32-D0WDQ6, 32MBIT"
"U5","USBLC6-2SC6","TopLayer","SOT23-6L","2094.000","355.260","270","TVS DIODE 5.25V 17V SOT23-6"
"U6","MAX6662","TopLayer","SOIC8","2255.905","1044.291","270","SENSOR TEMPERATURE SPI 8SOIC"
"U7","M41T00M6F","TopLayer","SOIC8","1830.709","1044.291","270","IC RTC CLK/CALENDAR I2C 8-SOIC"
"U8","OPA314AIDBVR","BottomLayer","SOT23-5","3567.000","181.000","0","Op Amp OPA314"
"U9","NCS36000DRG","BottomLayer","SOIC14","3331.157","638.110","180","PIR Controller Low Noise Amplifiers and LDO Regulator 14-Pin SOIC N T/R"
"USB1","10118192-0001LF","TopLayer","MICRO_B_USB","2080.709","137.795","0","CONN RCPT USB2.0 MICRO B SMD R/A"
"X1","ECS-160-20-30B-TR","TopLayer","ECS","1800.875","1608.121","45","CRYSTAL 16.0000MHZ 20PF SMD"
"X2","ABS05-32.768KHZ-T","TopLayer","ABS05","1641.732","1097.441","90","Crystal, 32.768 kHz, SMD, 1.6mm x 1mm, 12.5 pF, 20 ppm, ABS05 Series"
